kepid,koi_disposition,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
3846515,FALSE POSITIVE,290.33026,38.917721,0,0,1,0,0.888045184,3.153e-06,-3.153e-06,131.84685,0.0027,-0.0027,0.491,0.005,-0.491,2.1961,0.0884,-0.0884,90.6,4.2,-4.2,2.04,0.45,-0.6,2870,NA,NA,15984.12,10822.39,-9138.89,6316,203,-226,3.908,0.266,-0.114,2.087,0.45,-0.618
5179609,CANDIDATE,289.61139,40.335838,0,0,0,0,43.9311596,1.532e-05,-1.532e-05,134.214029,0.000292,-0.000292,0.855,0.001,-0.001,12.9395,0.0178,-0.0178,9304.4,11.5,-11.5,58.37,9.23,-17.14,902,NA,NA,156.74,62,-85.16,4888,49,-107,3.257,0.188,-0.101,5.132,0.811,-1.507
5181086,FALSE POSITIVE,290.0405,40.337379,1,0,0,0,494.62409,0.02558,-0.02558,242.5567,0.021,-0.021,0.4064,0.0998,-0.4063,8.36,2.9,-2.9,307,118,-118,1.04,0.09,-0.12,145,NA,NA,0.11,0.03,-0.04,4302,121,-145,4.647,0.067,-0.028,0.604,0.05,-0.069
5181299,FALSE POSITIVE,290.09991,40.386581,1,0,0,0,573.23826,0.01076,-0.01076,343.313,0.0133,-0.0133,0.0078,0.4588,-0.0077,2.641,0.504,-0.504,470.1,87.8,-87.8,6.93,3.26,-1.99,338,NA,NA,3.09,4.27,-1.7,5172,126,-159,3.534,0.228,-0.303,3.264,1.536,-0.935
5184144,CANDIDATE,290.93436,40.358158,0,0,0,0,314.765374,0.005622,-0.005622,283.1235,0.018,-0.018,0.158,0.3571,-0.158,3.325,0.75,-0.75,732,161,-161,2,0.46,-0.15,217,NA,NA,0.53,0.37,-0.13,5228,176,-142,4.6,0.028,-0.137,0.755,0.171,-0.057
5192660,FALSE POSITIVE,293.44922,40.326302,1,0,0,0,110.75214125,NA,NA,174.9520694,NA,NA,NA,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5193813,FALSE POSITIVE,293.7785,40.3092,1,0,0,0,121.1825045,NA,NA,213.3594926,NA,NA,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5199426,FALSE POSITIVE,295.18088,40.339882,0,1,0,0,78.60436061,4.636e-06,-4.636e-06,143.9949276,4.15e-05,-4.15e-05,0.828,0.014,-0.011,4.65559,0.0023,-0.0023,78104,42.8,-42.8,34.8,10.32,-4.41,438,NA,NA,8.68,7.54,-2.82,5938,160,-178,4.427,0.098,-0.196,0.985,0.292,-0.125
5211631,FALSE POSITIVE,297.74051,40.347881,1,0,0,0,294.202469,0.009874,-0.009874,221.2782,0.0238,-0.0238,0.0219,0.4643,-0.0218,2.36,1.4,-1.4,248.2,58.6,-58.6,2.61,1.28,-0.66,401,NA,NA,6.09,8.82,-3.12,6897,167,-235,4.121,0.182,-0.278,1.635,0.803,-0.411
6285906,FALSE POSITIVE,292.08868,41.602459,1,0,0,0,116.170346,0.001681,-0.001681,205.5026,0.0124,-0.0124,0.6637,0.1223,-0.4479,2.656,0.506,-0.506,435.2,88.6,-88.6,1.68,0.59,-0.12,320,NA,NA,2.49,2.7,-0.56,5510,175,-144,4.594,0.03,-0.211,0.762,0.271,-0.055
